127.0.0.1 - - [21/Sep/2016:19:15:08 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:11 +0800] "GET /BFoa/ HTTP/1.1" 200 1110
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:12 +0800] "GET /BFoa/web/page/main/main_left.jsp HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:12 +0800] "GET /BFoa/web/page/main/main_top.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:12 +0800] "GET /BFoa/web/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:12 +0800] "GET /BFoa/web/js/jquery-1.4.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:12 +0800] "GET /BFoa/web/page/main/main_right.jsp HTTP/1.1" 200 1405
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/main_top_bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/mainFunction_bar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/zzgl_normal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/qxgl_normal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/gwgl_normal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/lcgl_normal.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/main_left_bar2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/Bitmap_203.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/Bitmap_202.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:13 +0800] "GET /BFoa/web/imgs/Bitmap_201.bmp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:44 +0800] "GET /BFoa/web/imgs/qxgl_choose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:44 +0800] "GET /BFoa/web/imgs/zzgl_choose.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:45 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:45 +0800] "GET /BFoa/web/page/main/main_right_zzgl.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [21/Sep/2016:19:15:45 +0800] "GET /BFoa/web/js/mainjs.js HTTP/1.1" 304 -
